"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes","mean_eff_tax","Federal.Minimum.Wage","Governor.is.Democrat..1.Yes.","Personal.income","Poverty.Rate","state_num","State.Minimum.Wage","Unemployment","year","state_fips","SSI.recipients","Employment"
2008,"ID",1534.32,5,24,63878.2,"Idaho",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",50205.4,12.2,"13",5.85,38.5,2008,16,24.655,716.653
2008,"IL",12747.038,6.5,29.9,759095.3,"Illinois",1,2019,2020,2020,1,1,0,"",NA,5.85,"1",551531,12.3,"14",7.75,418.616,2008,17,265.628,6238.611
2008,"IN",6424.806,5.9,22.9,322384.3,"Indiana",1,2019,2019,2019,1,1,0,"",NA,5.85,"0",226332.7,14.3,"15",5.85,190.269,2008,18,108.094,3041.828
2008,"KS",2808.076,4.6,29.6,147265,"Kansas",1,2022,2022,2022,1,1,0,"",NA,5.85,"1",114543.3,12.7,"17",2.65,69.048,2008,20,41.903,1430.628
2008,"KY",4289.878,6.5,19.7,186516,"Kentucky",1,2023,2023,2023,1,1,0,"",NA,5.85,"1",140523.4,17.1,"18",5.85,130.055,2008,21,186.809,1900.683
2008,"LA",4435.586,4.7,20.3,237061.6,"Louisiana",1,2021,2021,2022,1,1,0,"",NA,5.85,"0",168070,18.2,"19",5.85,102.454,2008,22,165.454,1982.381
2008,"MA",6468.967,5.3,38.1,447526.8,"Massachusetts",1,2022,2023,2023,1,1,0,"",NA,5.85,"1",335841.4,11.3,"22",8,191.06,2008,25,182.455,3261.408
2008,"MD",5684.965,4.3,35.2,338165.4,"Maryland",1,2021,2021,2021,1,1,0,"",NA,5.85,"1",280998.1,8.7,"21",6.15,126.966,2008,24,100.726,2874.987
2008,"ME",1330.509,5.4,25.4,59845.1,"Maine",1,2022,2023,2023,1,1,0,"",NA,5.85,"1",49300.6,12,"20",7,38.488,2008,23,33.915,663.158
2008,"MI",9946.889,8.2,24.7,455256.7,"Michigan",1,2019,2020,2021,1,1,0,"",NA,5.85,"1",355102.7,13,"23",7.15,392.177,2008,26,232.581,4529.289
2008,"MN",5247.018,5.5,31.5,309290.4,"Minnesota",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",226166.5,9.9,"24",6.15,158.746,2008,27,80.673,2766.342
2008,"MO",5923.916,6.2,25,297881.8,"Missouri",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",219503.3,13.3,"26",6.65,186.012,2008,29,124.449,2842.845
2008,"MS",2947.806,6.7,19.4,109434,"Mississippi",1,2017,2017,NA,0,1,0,"",NA,5.85,"0",89845,18.1,"25",6.55,85.781,2008,28,122.455,1220.991
2008,"MT",976.415,4.7,27.1,42049.3,"Montana",1,2019,2019,NA,0,1,0,"",NA,5.85,"1",34421.4,12.9,"27",6.25,25.816,2008,30,16.033,483.347
2008,"NC",9309.449,5.9,26.1,492688.8,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal",NA,5.85,"1",350848.3,13.9,"34",6.15,278.346,2008,37,208.409,4281.713
